2022-03-10	23:58:31	17.45
2022-03-10	23:48:31	17.69
2022-03-10	23:38:32	17.86
2022-03-10	23:28:32	18.06
2022-03-10	23:18:33	18.09
2022-03-10	23:08:33	17.99
2022-03-10	22:58:33	18.18
2022-03-10	22:48:33	18.33
2022-03-10	22:38:34	18.47
2022-03-10	22:28:33	18.62
2022-03-10	22:18:34	18.78
2022-03-10	22:08:35	18.96
2022-03-10	21:58:34	19.18
2022-03-10	21:48:35	19.42
2022-03-10	21:38:35	19.67
2022-03-10	21:28:36	19.95
2022-03-10	21:18:36	20.23
2022-03-10	21:08:37	20.52
2022-03-10	20:58:36	20.82
2022-03-10	20:48:36	21.13
2022-03-10	20:38:37	21.47
2022-03-10	20:28:38	21.83
2022-03-10	20:18:38	22.20
2022-03-10	20:08:38	22.58
2022-03-10	19:58:38	22.99
2022-03-10	19:48:39	23.42
2022-03-10	19:38:39	23.88
2022-03-10	19:28:39	24.39
2022-03-10	19:18:39	24.92
2022-03-10	19:08:39	25.48
2022-03-10	18:58:40	26.06
2022-03-10	18:48:40	26.71
2022-03-10	18:38:40	27.40
2022-03-10	18:28:41	28.04
2022-03-10	18:18:41	28.74
2022-03-10	18:08:41	29.42
2022-03-10	17:58:42	30.08
2022-03-10	17:48:42	30.90
2022-03-10	17:38:42	31.70
2022-03-10	17:28:42	32.46
2022-03-10	17:18:42	33.17
2022-03-10	17:08:43	33.81
2022-03-10	16:58:43	34.44
2022-03-10	16:48:43	35.03
2022-03-10	16:38:43	35.86
2022-03-10	16:28:43	36.50
2022-03-10	16:18:43	37.09
2022-03-10	16:08:43	37.62
2022-03-10	15:58:44	38.13
2022-03-10	15:48:43	38.68
2022-03-10	15:38:44	39.08
2022-03-10	15:28:44	39.38
2022-03-10	15:18:44	39.48
2022-03-10	15:08:45	39.62
2022-03-10	14:58:45	39.67
2022-03-10	14:48:45	39.67
2022-03-10	14:38:45	39.58
2022-03-10	14:28:45	39.29
2022-03-10	14:18:45	38.94
2022-03-10	14:08:46	38.62
2022-03-10	13:58:45	38.02
2022-03-10	13:48:45	37.56
2022-03-10	13:38:46	36.83
2022-03-10	13:28:46	36.21
2022-03-10	13:18:46	35.83
2022-03-10	13:08:46	35.66
2022-03-10	12:58:46	35.36
2022-03-10	12:48:46	35.11
2022-03-10	12:38:47	34.82
2022-03-10	12:28:47	34.56
2022-03-10	12:18:47	34.06
2022-03-10	12:08:47	33.64
2022-03-10	11:58:47	33.28
2022-03-10	11:48:47	33.13
2022-03-10	11:38:48	32.74
2022-03-10	11:28:48	32.53
2022-03-10	11:18:48	32.00
2022-03-10	11:08:49	31.20
2022-03-10	10:58:48	30.36
2022-03-10	10:48:48	29.57
2022-03-10	10:38:49	28.77
2022-03-10	10:28:49	27.90
2022-03-10	10:18:50	27.00
2022-03-10	10:08:50	26.19
2022-03-10	09:58:50	25.43
2022-03-10	09:48:50	24.60
2022-03-10	09:38:50	23.74
2022-03-10	09:28:50	22.91
2022-03-10	09:18:50	22.07
2022-03-10	09:08:51	21.30
2022-03-10	08:58:51	20.56
2022-03-10	08:48:52	19.78
2022-03-10	08:38:52	18.94
2022-03-10	08:28:52	18.12
2022-03-10	08:18:53	17.37
2022-03-10	08:08:53	16.66
2022-03-10	07:58:53	15.97
2022-03-10	07:48:54	15.33
2022-03-10	07:38:54	14.74
2022-03-10	07:28:54	14.23
2022-03-10	07:18:54	13.80
2022-03-10	07:08:55	13.44
2022-03-10	06:58:55	13.15
2022-03-10	06:48:56	12.94
2022-03-10	06:38:56	12.80
2022-03-10	06:28:57	12.73
2022-03-10	06:18:56	12.73
2022-03-10	06:08:57	12.79
2022-03-10	05:58:57	12.90
2022-03-10	05:48:57	13.01
2022-03-10	05:38:58	13.12
2022-03-10	05:28:58	13.24
2022-03-10	05:18:59	13.35
2022-03-10	05:08:59	13.46
2022-03-10	04:58:59	13.57
2022-03-10	04:49:00	13.68
2022-03-10	04:39:00	13.80
2022-03-10	04:29:00	13.93
2022-03-10	04:19:01	14.08
